Match,Team 1,Team 2,Date,Time,Season
Match 1,Royal Challengers Bangalore,Kolkata Knight Riders,2008-04-18,8:00 pm,2008
Match 2,Punjab Kings,Chennai Super Kings,2008-04-19,4:00 pm,2008
Match 3,Delhi Daredevils,Rajasthan Royals,2008-04-19,8:00 pm,2008
Match 4,Kolkata Knight Riders,Deccan Chargers,2008-04-20,4:00 pm,2008
Match 5,Mumbai Indians,Royal Challengers Bangalore,2008-04-20,8:00 pm,2008
Match 6,Rajasthan Royals,Punjab Kings,2008-04-21,8:00 pm,2008
Match 7,Deccan Chargers,Delhi Daredevils,2008-04-22,8:00 pm,2008
Match 8,Chennai Super Kings,Mumbai Indians,2008-04-23,8:00 pm,2008
Match 9,Deccan Chargers,Rajasthan Royals,2008-04-24,8:00 pm,2008
Match 10,Punjab Kings,Mumbai Indians,2008-04-25,8:00 pm,2008
Match 11,Chennai Super Kings,Kolkata Knight Riders,2008-04-26,4:00 pm,2008
Match 12,Royal Challengers Bangalore,Rajasthan Royals,2008-04-26,8:00 pm,2008
Match 13,Punjab Kings,Delhi Daredevils,2008-04-27,4:00 pm,2008
Match 14,Mumbai Indians,Deccan Chargers,2008-04-27,8:00 pm,2008
Match 15,Royal Challengers Bangalore,Chennai Super Kings,2008-04-28,8:00 pm,2008
Match 16,Kolkata Knight Riders,Mumbai Indians,2008-04-29,8:00 pm,2008
Match 17,Delhi Daredevils,Royal Challengers Bangalore,2008-04-30,8:00 pm,2008
Match 18,Rajasthan Royals,Kolkata Knight Riders,2008-05-01,4:00 pm,2008
Match 19,Deccan Chargers,Punjab Kings,2008-05-01,8:00 pm,2008
Match 20,Chennai Super Kings,Delhi Daredevils,2008-05-02,8:00 pm,2008
Match 21,Royal Challengers Bangalore,Deccan Chargers,2008-05-03,4:00 pm,2008
Match 22,Punjab Kings,Kolkata Knight Riders,2008-05-03,8:00 pm,2008
Match 23,Mumbai Indians,Delhi Daredevils,2008-05-04,4:00 pm,2008
Match 24,Rajasthan Royals,Chennai Super Kings,2008-05-04,8:00 pm,2008
Match 25,Royal Challengers Bangalore,Punjab Kings,2008-05-05,8:00 pm,2008
